sector, process, subprocess, phase, activity
GOVERNMENT PROCESSES, STRATEGIC PLANNING, DEFINITION OF BUSINESS MODEL ,,
GOVERNMENT PROCESSES, STRATEGIC PLANNING, ANALYSIS OF THE RESULTS ACHIEVED,
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MONITORING AND MEASUREMENT OF THE PERFORMANCE OF THE ICT AND ITS KPI, DRAFTING OF THE SYNTHETIC REPORT ON ADEQUACY AND COSTS OF THE ICT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MONITORING AND MEASUREMENT OF THE PERFORMANCE OF THE ICT AND ITS KPI, DEFINITION AND MONITORING OF THE ACTIONS OF IMPROVEMENT OF PERFORMANCE
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF ICT PROCESSES, RECEPTION NEW ICT PROJECT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF ICT PROCESSES, RECEPTION OF URGENT ICT PROJECTS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF ICT PROCESSES, COMMUNICATION OF PROJECTS WITH A WIDE IMPACT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF ICT PROCESSES, MONITORING OF ICT PROJECTUALITIES
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF ICT PROCESSES, VERIFICATION OF THE PROGRESS OF ICT PROJECTS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF ICT PROCESSES, EVALUATION OF THE RELEVANCE OF ICT PROJECTS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF ICT PROCESSES, MANAGEMENT OF CRITICALITY
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF ICT PROCESSES, CLOSING OF ICT PROJECTS
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF ICT PROCESSES, UPDATING OF THE ANNUAL OPERATIONAL PLAN
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CHANGE MANAGEMENT OF APPLICATIONS, MANAGEMENT OF THE NEEDS FOR MODIFICATION OF THE APPLICATION SOFTWARE
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CHANGE MANAGEMENT OF APPLICATIONS, MANAGEMENT OF NEW DEVELOPMENTS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CHANGE MANAGEMENT OF APPLICATIONS, ANOMALY MANAGEMENT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CHANGE MANAGEMENT OF APPLICATIONS, DEVELOPMENT AND TESTING OF THE CHANGE OF MODIFICATION
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CHANGE MANAGEMENT OF APPLICATIONS, APPROVAL AND PLANNING OF THE PASSAGE IN PRODUCTION
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CHANGE MANAGEMENT OF APPLICATIONS, PASSAGE IN PRODUCTION ENVIRONMENT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CHANGE MANAGEMENT OF APPLICATIONS, MODIFICATIONS IN EMERGENCY
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INFRASTRUCTURAL CHANGE MANAGEMENT, COLLECTION OF INFRASTRUCTURE MODIFICATION NEEDS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INFRASTRUCTURAL CHANGE MANAGEMENT, MANAGEMENT OF MODIFICATION NEEDS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INFRASTRUCTURAL CHANGE MANAGEMENT, INTERVENTIONS IN THE ENVIRONMENTS LOWERING THE PRODUCTION
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INFRASTRUCTURAL CHANGE MANAGEMENT, PLANNING AND APPROVAL OF THE PASSAGE IN PRODUCTION
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INFRASTRUCTURAL CHANGE MANAGEMENT, PASSAGE IN PRODUCTION
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INFRASTRUCTURAL CHANGE MANAGEMENT, EMERGENCY AMENDMENTS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CAPACITY PLANNING, DEFINITION OF OBJECTIVES
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CAPACITY PLANNING, PLANNING AND MONITORING
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CAPACITY PLANNING, PERIODIC ANALYSIS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, CAPACITY PLANNING, REVIEW AND ADJUSTMENTS OF CAPACITY
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF DEVELOPMENT, ACQUISITION AND MAINTENANCE OF THE APPLICATION SOFTWARE AND TECHNOLOGICAL INFRASTRUCTURE, DEFINITION OF SECURITY REQUIREMENTS
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF DEVELOPMENT, ACQUISITION AND MAINTENANCE OF APPLICATION SOFTWARE AND TECHNOLOGICAL INFRASTRUCTURE, IMPLEMENTATION OF INFORMATION SYSTEMS
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEVELOPMENT MANAGEMENT, ACQUISITION AND MAINTENANCE OF APPLICATION SOFTWARE AND TECHNOLOGICAL INFRASTRUCTURE, ACQUISITION OF INFORMATION SYSTEMS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, DEVELOPMENT MANAGEMENT, ACQUISITION AND MAINTENANCE OF APPLICATION SOFTWARE AND TECHNOLOGICAL INFRASTRUCTURE, VERIFICATION OF INFORMATION SYSTEMS
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INSURANCE OF COMPLIANCE WITH EXTERNAL AND INTERNAL LAWS AND REGULATIONS RELATIVE TO THE INFORMATION SYSTEM, IDENTIFICATION
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INSURANCE OF CONFORMITY TO EXTERNAL AND INTERNAL LAWS AND REGULATIONS RELATIVE TO THE INFORMATION SYSTEM, ASSESSMENT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INSURANCE OF CONFORMITY TO EXTERNAL AND INTERNAL LAWS AND REGULATIONS REGARDING THE INFORMATION SYSTEM, REMEDIATION PLAN
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INSURANCE OF CONFORMITY TO EXTERNAL AND INTERNAL LAWS AND REGULATIONS RELATIVE TO THE INFORMATION SYSTEM, MONITORING
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, INSURANCE OF CONFORMITY TO EXTERNAL AND INTERNAL LAWS AND REGULATIONS RELATIVE TO THE INFORMATION SYSTEM, REPORTING
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF SYSTEMS ACQUISITIONS, SOFTWARE AND IT SERVICES (INCLUDING THE APPLICATION TO EXTERNAL SUPPLIERS), IDENTIFICATION AND CENSUS OF NEW NEEDS IN ICT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF SYSTEMS ACQUISITIONS, SOFTWARE AND IT SERVICES (INCLUDING THE APPLICATION TO EXTERNAL SUPPLIERS), ANALYSIS OF THE IMPACTS RESULTING FROM THE APPLICATION TO EXTERNAL SUPPLIERS
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF SYSTEMS ACQUISITIONS, SOFTWARE AND IT SERVICES (INCLUDING THE APPLICATION TO EXTERNAL SUPPLIERS), EVALUATION OF THE CONVENIENCE TO APPLY TO EXTERNAL SUPPLIERS
SUPPORTING PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF SYSTEMS ACQUISITIONS, SOFTWARE AND IT SERVICES (INCLUDING THE APPLICATION TO EXTERNAL SUPPLIERS), SELECTION OF SYSTEMS, SOFTWARE OR SERVICES SUPPLIER
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF SYSTEMS ACQUISITIONS, SOFTWARE AND IT SERVICES (INCLUDING THE APPLICATION TO EXTERNAL SUPPLIERS), FORMALIZATION SUPPLY AGREEMENT
SUPPORT PROCESSES, MANAGEMENT OF INFORMATION SYSTEMS AND TELECOMMUNICATIONS, MANAGEMENT OF SYSTEMS ACQUISITIONS, SOFTWARE AND IT SERVICES (INCLUDING THE APPLICATION TO EXTERNAL SUPPLIERS), ALS MONITORING AND CONTRACTUAL CLAUSES
SUPPORTING PROCESSES, ORGANIZATION, DEFINITION AND REVISION OF THE COMPANY'S ORGANIZATIONAL STRUCTURE, DEFINITION AND REVISION OF THE ORGANIZATIONAL MODEL
SUPPORTING PROCESSES, ORGANIZATION, DEFINITION AND REVISION OF THE COMPANY ORGANIZATIONAL STRUCTURE, IDENTIFICATION OF IMPORTANT OPERATING FUNCTIONS
SUPPORT PROCESSES, ORGANIZATION, DEFINITION AND REVISION OF THE COMPANY'S ORGANIZATIONAL STRUCTURE, DEFINITION AND REVISION OF THE ORGANIGRAM AND FUNCTIONAL WORK
SUPPORTING PROCESSES, ORGANIZATION, DEFINITION AND REVISION OF THE COMPANY'S ORGANIZATIONAL STRUCTURE, DEFINITION AND REVISION DIMENSIONING OF THE ORGANICS
SUPPORT PROCESSES, ORGANIZATION, DEFINITION AND REVISION OF THE COMPANY ORGANIZATIONAL STRUCTURE, DEFINITION OF PROCESSES TAXONOMY
SUPPORT PROCESSES, ORGANIZATION, MANAGEMENT OF BUSINESS PROCESSES, DEFINITION AND REVIEW OF COMPANY PROCESSES
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF BUSINESS PROCESSES, MAPPING OF COMPANY PROCESSES
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF COMPANY PROCESSES, DEFINITION OF THE TAXONOMY OF REGULATORY SOURCES
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF INTERNAL REGULATIONS, DRAWING OF INTERNAL REGULATIONS
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF INTERNAL REGULATIONS, APPROVAL OF INTERNAL REGULATIONS
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF INTERNAL REGULATIONS, DISCLOSURE OF INTERNAL REGULATIONS
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF INTERNAL REGULATIONS, INTEGRATION AND UPDATING OF INTERNAL REGULATIONS
SUPPORTING PROCESSES, ORGANIZATION, EXTERNALIZATION OF COMPANY FUNCTIONS, IDENTIFICATION OF DECISION LEVELS AND ORGANIZATIONAL UNITS INVOLVED
SUPPORT PROCESSES, ORGANIZATION, EXTERNALIZATION OF COMPANY FUNCTIONS, EVALUATION OF THE CONVENIENCE TO EXTERNALIZE
SUPPORTING PROCESSES, ORGANIZATION, EXTERNALIZATION OF COMPANY FUNCTIONS, DEFINITION OF SERVICE PERFORMANCE CONDITIONS AND SLA DEFINITION
SUPPORT PROCESSES, ORGANIZATION, EXTERNALIZATION OF COMPANY FUNCTIONS, MANAGEMENT OF RELATIONSHIP WITH OUTSOURCER
SUPPORT PROCESSES, ORGANIZATION, INNOVATION AND CHANGE MANAGEMENT, ANALYSIS CHANGES NEED AND COLLECTION USER REQUIREMENTS
SUPPORTING PROCESSES, ORGANIZATION, INNOVATION AND CHANGE MANAGEMENT, EVALUATION OF THE IMPACT OF CHANGE
SUPPORT PROCESSES, ORGANIZATION, INNOVATION AND CHANGE MANAGEMENT, DESIGN OF CHANGE SOLUTIONS
SUPPORTING PROCESSES, ORGANIZATION, INNOVATION AND CHANGE MANAGEMENT, IMPLEMENTATION OF THE CHANGE PLAN
SUPPORT PROCESSES, ORGANIZATION, PROJECT MANAGEMENT, IDENTIFICATION OF THE PROJECT OBJECTIVES
SUPPORT PROCESSES, ORGANIZATION, PROJECT MANAGEMENT, PROJECT KICK OFF MANAGEMENT
SUPPORT PROCESSES, ORGANIZATION, PROJECT MANAGEMENT, DEFINITION OF THE PROJECT ORGANIGRAM
SUPPORT PROCESSES, ORGANIZATION, PROJECT MANAGEMENT, PREPARATION OF THE PROJECT PLAN
SUPPORT PROCESSES, ORGANIZATION, PROJECT MANAGEMENT, DEFINITION OF THE OPERATING MODEL
SUPPORT PROCESSES, ORGANIZATION, PROJECT MANAGEMENT, SAL MANAGEMENT AND COORDINATION OF PROJECT DOCUMENTATION
SUPPORT PROCESSES, ORGANIZATION, PROJECT MANAGEMENT, PROJECT CLOSING AND PREPARATION / DISSEMINATION OF THE RELATED COMMUNICATIONS
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF MANAGEMENT AND OPERATIONAL REPORTING, COLLECTION OF REPORTING REQUEST FOR REPORTING
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF MANAGEMENT AND OPERATIONAL REPORTING, DEFINITION OF REPORTING CHARACTERISTICS
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF MANAGEMENT AND OPERATIONAL REPORTING, ANALYSIS ABOUT THE AVAILABILITY OF THE INFORMATION REQUIRED
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF MANAGEMENT AND OPERATIONAL REPORTING, DEFINITION OF LAYOUT REPORTING
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF MANAGEMENT AND OPERATIONAL REPORTING, PREPARATION OF DRAFT REPORTING
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF MANAGEMENT AND OPERATIONAL REPORTING, SHARING AND ENDING TUNING
SUPPORTING PROCESSES, ORGANIZATION, MANAGEMENT OF MANAGEMENT AND OPERATIONAL REPORTING, REPORTING REPORTING
SUPPORT PROCESSES, ORGANIZATION, MANAGEMENT OF FUNCTIONAL TESTS FOR APPLICATIONS OF A NEW INTRODUCTION AND FOR THE AMENDMENTS OF THE APPLICATIONS TO BE, DEFINITION OF THE PURPOSES OF THE TEST
SUPPORT PROCESSES, ORGANIZATION, MANAGEMENT OF FUNCTIONAL TESTS FOR THE APPLICATIONS OF A NEW INTRODUCTION BOTH FOR THE AMENDMENTS OF THE APPLICATIONS TO BE, ELABORATION OF THE TEST METHODOLOGICAL FRAMEWORK AND IDENTIFICATION OF THE APPLICATION ARCHITECTURE INTERESTED BY THE TESTING ACTIVITIES
SUPPORT PROCESSES, ORGANIZATION, MANAGEMENT OF FUNCTIONAL TESTS FOR THE APPLICATIONS OF A NEW INTRODUCTION AND FOR THE AMENDMENTS OF THE APPLICATIONS TO BE, THE PLANNING OF THE TEST ACTIVITIES
SUPPORT PROCESSES, ORGANIZATION, MANAGEMENT OF FUNCTIONAL TESTS FOR THE APPLICATIONS OF A NEW INTRODUCTION BOTH FOR THE AMENDMENTS OF THE APPLICATIONS TO BE, PERFORMANCE OF THE TEST ACTIVITIES, IDENTIFICATION OF THE GAPS, SHARING OF THE RELATED RESULTS
SUPPORT PROCESSES, ORGANIZATION, MANAGEMENT OF FUNCTIONAL TESTS FOR THE APPLICATIONS OF A NEW INTRODUCTION BOTH FOR THE AMENDMENTS OF THE APPLICATIONS TO BE, FORMALIZATION OF THE OUTCOMES OF THE TESTING ACTIVITIES AND ADDRESSING OF THE ACTIVITIES OF ACCOMPANYING THE ANOMALIES DETECTED
SUPPORT PROCESSES, ORGANIZATION, MANAGEMENT OF FUNCTIONAL TESTS FOR THE APPLICATIONS OF A NEW INTRODUCTION BOTH FOR THE AMENDMENTS OF THE APPLICATIONS TO BE, THE IDENTIFICATION OF THE TESTS TO BE SCHEDULING IN A SYSTEMATIC MODE AND DETERMINATION OF THE RELEVANT FREQUENCY OF EXECUTION
SUPPORT PROCESSES, ORGANIZATION, INTERNAL HELP DESK,
SUPPORT PROCESSES, LOGISTIC AND TECHNICAL SUPPORT, INFRASTRUCTURAL RESOURCES MANAGEMENT AND GENERAL SERVICES, MANAGEMENT AND MAINTENANCE OF REAL ESTATE
SUPPORT PROCESSES, LOGISTIC AND TECHNICAL SUPPORT, INFRASTRUCTURAL RESOURCES MANAGEMENT AND GENERAL SERVICES, MANAGEMENT OF LAYOUT BRANCHES AND OFFICES
SUPPORT PROCESSES, LOGISTIC AND TECHNICAL SUPPORT, INFRASTRUCTURAL RESOURCES MANAGEMENT AND GENERAL SERVICES, MANAGEMENT AND MAINTENANCE OF MOVABLE PROPERTY
SUPPORT PROCESSES, LOGISTIC AND TECHNICAL SUPPORT, INFRASTRUCTURAL RESOURCES MANAGEMENT AND GENERAL SERVICES, CORRESPONDENCE MANAGEMENT AND INTERNAL MAIL
SUPPORT PROCESSES, LOGISTIC AND TECHNICAL SUPPORT, INFRASTRUCTURAL RESOURCES MANAGEMENT AND GENERAL SERVICES, STOCKS MANAGEMENT AND STORAGE
SUPPORT PROCESSES, LOGISTIC AND TECHNICAL SUPPORT, INFRASTRUCTURAL RESOURCES MANAGEMENT AND GENERAL SERVICES, ENERGY MANAGEMENT AND PLANTS
SUPPORT PROCESSES, LOGISTIC AND TECHNICAL SUPPORT, CONSERVATION OF PAPER AND COMPUTER DOCUMENTS,
SUPPORTING PROCESSES, MANAGEMENT OF CORPORATE ORGANS AND PARTICIPATIONS, ADEMPIMENTS AND COMPENSATION OF CORPORATE ORGANS,
SUPPORTING PROCESSES, MANAGEMENT OF CORPORATE ORGANS AND PARTICIPATIONS, FORMALIZATION AND REGISTRATION OF SOCIAL ORGAN ACTIVITIES,
SUPPORTING PROCESSES, MANAGEMENT OF CORPORATE ORGANS AND PARTICIPATIONS, ADMINISTRATIVE ADMINISTRATIVE PARTICIPATIONS,
SUPPORT PROCESSES, SUPPORT AND LEGAL ADVICE, LEGAL OPERATIONAL SUPPORT, ATTESTATIONS AND SUCCESSIONS
SUPPORT PROCESSES, SUPPORT AND LEGAL ADVICE, OPERATIONAL LEGAL SUPPORT, DEPRECIATION / REPLACEMENT OF CREDIT TITLES
SUPPORT PROCESSES, SUPPORT AND LEGAL ADVICE, LEGAL OPERATIONAL SUPPORT, REVIEW AND INTEGRATION CONTRACTUAL SCHEMES AND MODULIST
SUPPORT PROCESSES, SUPPORT AND LEGAL ADVICE, LEGAL ADVICE,
SUPPORTING PROCEDURES, REPORTING AND RELATIONSHIPS WITH THE SUPERVISORY AUTHORITIES, REPORTING TO BANCA D'ITALIA AND CR, CLASSIFICATION OF NPL EXPOSURES AND SIGNALS IN CR
SUPPORTING PROCEDURES, SIGNALING AND RELATIONSHIPS WITH THE SUPERVISORY AUTHORITIES, REPORTING TO BANCA D'ITALIA AND CR, MONITORING AND CLASSIFICATION OF THE CONTINUOUS EXHIBITIONS
SUPPORT PROCESSES, REPORTING AND RELATIONSHIPS WITH THE SUPERVISORY AUTHORITIES, REPORTS TO CONSOB, THE MARKET AND THE ITALIAN STOCK EXCHANGE,
SUPPORT PROCESSES, REPORTING AND RELATIONSHIPS WITH THE SUPERVISORY AUTHORITIES, INFORMATION PRODUCTION, ANTI-MONEY LAUNDRY AND WEAR,
SUPPORTING PROCEDURES, REPORTING AND RELATIONSHIPS WITH THE SUPERVISORY AUTHORITIES, PRODUCTION AND MANAGEMENT OF OTHER INFORMATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, IT SECURITY MANAGEMENT, PLANNING
SUPPORT PROCESSES, SAFETY MANAGEMENT, IT SECURITY MANAGEMENT, IMPLEMENTATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, TECHNICAL SECURITY MANAGEMENT, VERIFICATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, IT SECURITY MANAGEMENT, IMPROVEMENT
SUPPORT PROCESSES, SAFETY MANAGEMENT, DATA GOVERNANCE, DESIGN
SUPPORT PROCESSES, SAFETY MANAGEMENT, DATA GOVERNANCE, EXERCISE
SUPPORT PROCESSES, SAFETY MANAGEMENT, DATA GOVERNANCE, IMPROVEMENT
SUPPORT PROCESSES, SAFETY MANAGEMENT, DATA GOVERNANCE, DIRECTOR AND MONITORING
SUPPORT PROCESSES, SAFETY MANAGEMENT, DATA GOVERNANCE, DEFINITION AND UPDATING INDICATORS
SUPPORT PROCESSES, SAFETY MANAGEMENT, DATA GOVERNANCE, REPORTING
SUPPORTING PROCESSES, SECURITY MANAGEMENT, INTERNET PAYMENT MANAGEMENT, DEFINITION OF OBJECTIVES AND SECURITY ANALYSIS AND CONFORMITY OF INTERNET PAYMENT SERVICES
SUPPORT PROCESSES, SAFETY MANAGEMENT, INTERNET PAYMENT MANAGEMENT SERVICES, IMPLEMENTATION OF SECURITY MEASURES
SUPPORT PROCESSES, SAFETY MANAGEMENT, INTERNET PAYMENT MANAGEMENT SERVICES, SAFETY MEASURES CHECKS
SUPPORT PROCESSES, SECURITY MANAGEMENT, PAYMENT MANAGEMENT SERVICES VIA INTERNET, CONTINUOUS IMPROVEMENT MANAGEMENT
SUPPORTING PROCESSES, SAFETY MANAGEMENT, INSURANCE SERVICE CONTINUED, DEFINITION OF THE APPROACH TO THE CONTINUITY OF THE SERVICE
SUPPORTING PROCESSES, SAFETY MANAGEMENT, SERVICE CONTINUITY, DEVELOPMENT OF THE REFERENCE MODEL FOR OPERATIONAL CONTINUITY
SUPPORTING PROCESSES, SAFETY MANAGEMENT, INSURANCE OF SERVICE CONTINUED, CONDUCT OF IMPACT ANALYSIS ON COMPANY PROCESSES
SUPPORT PROCESSES, SAFETY MANAGEMENT, SERVICE CONTINUITY ASSESSMENT, IDENTIFICATION AND CLASSIFICATION OF RESOURCES ON THE BASIS OF RECOVERY OBJECTIVES
SUPPORTING PROCESSES, SAFETY MANAGEMENT, CONTINUING SERVICE CONTINUED, DEVELOPMENT OF THE CONTINUITY PLAN
SUPPORT PROCESSES, SAFETY MANAGEMENT, SERVICE CONTINUITY, DISASTER RECOVERY PLAN DEVELOPMENT
SUPPORTING PROCESSES, SAFETY MANAGEMENT, CONTINUING SERVICE CONTINUED, PLANNING AND CONDUCTING OF THE CONTINUING PLAN
SUPPORTING PROCESSES, SAFETY MANAGEMENT, SERVICE CONTINUITY, UPDATE AND CHECKING THE CONTINUITY PLAN AND DISASTER RECOVERY
SUPPORTING PROCESSES, SAFETY MANAGEMENT, SERVICE CONTINUING, DEVELOPMENT OF THE ACTION PLAN AS A RESULT OF THE RESULTS OF THE CHECKS
SUPPORTING PROCESSES, SAFETY MANAGEMENT, CONTINUING MONITORING OF THREATS AND SAFETY VULNERABILITY, PLANNING AND CONDUCT OF SAFETY TECHNICAL TESTS
SUPPORTING PROCESSES, SAFETY MANAGEMENT, CONTINUING MONITORING OF THREATS AND SAFETY VULNERABILITY, CONTINUING MANAGEMENT OF RELATIONSHIPS WITH ACCREDITED SOURCES PROVIDING TIMELY INFORMATION ABOUT THE NEW TECHNICAL VULNERABILITIES IDENTIFIED
SUPPORTING PROCESSES, SAFETY MANAGEMENT, CONTINUING MONITORING OF THREATS AND SAFETY VULNERABILITY, MANAGEMENT OF SURVEYS EMERGED IN INTERNAL CHECKS
SUPPORTING PROCESSES, SAFETY MANAGEMENT, LOGIC ACCESS MANAGEMENT, DEFINITION OF SAFETY OBJECTIVES
SUPPORTING PROCESSES, SAFETY MANAGEMENT, LOGICAL ACCESS MANAGEMENT, CURRENT PROTECTION LEVEL IDENTIFICATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, LOGIC ACCESS MANAGEMENT, IMPLEMENTATION OF SECURITY MEASURES
SUPPORTING PROCESSES, SAFETY MANAGEMENT, LOGIC ACCESS MANAGEMENT, VERIFICATION AND MONITORING
SUPPORTING PROCESSES, SAFETY MANAGEMENT, SYSTEMS AND DATA PHYSICAL SECURITY MANAGEMENT, DEFINITION OF PHYSICAL SECURITY OBJECTIVES
SUPPORT PROCESSES, SAFETY MANAGEMENT, PHYSICAL SAFETY OF SYSTEMS AND DATA, CURRENT PROTECTION LEVEL IDENTIFICATION
SUPPORTING PROCESSES, SAFETY MANAGEMENT, PHYSICAL SAFETY OF SYSTEMS AND DATA, IMPLEMENTATION OF SAFETY MEASURES
SUPPORTING PROCESSES, SAFETY MANAGEMENT, SYSTEMS AND DATA PHYSICAL SECURITY MANAGEMENT, MAINTENANCE, MONITORING AND REPORTING
SUPPORT PROCESSES, SAFETY MANAGEMENT, TELECOMMUNICATIONS NETWORK MANAGEMENT, DEFINITION OF SECURITY OBJECTIVES
SUPPORT PROCESSES, SAFETY MANAGEMENT, TELECOMMUNICATIONS NETWORK MANAGEMENT, CURRENT PROTECTION LEVEL IDENTIFICATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, TELECOMMUNICATIONS NETWORK MANAGEMENT, IMPLEMENTATION OF SECURITY MEASURES
SUPPORTING PROCESSES, SECURITY MANAGEMENT, MANAGEMENT OF TELECOMMUNICATIONS NETWORKS, MONITORING, LOGGING AND AUDITING
SUPPORT PROCESSES, SECURITY MANAGEMENT, TELECOMMUNICATIONS NETWORK MANAGEMENT, DOCUMENT MANAGEMENT
SUPPORT PROCESSES, SAFETY MANAGEMENT, SYSTEM OPERATIONS AND CRITICAL CONTROL, DEFINITION OF SECURITY REQUIREMENTS
SUPPORT PROCESSES, SAFETY MANAGEMENT, SYSTEM OPERATIONS AND CRITICAL OPERATION CONTROL, IMPLEMENTATION OF SAFETY MEASURES
SUPPORT PROCESSES, SAFETY MANAGEMENT, SYSTEM OPERATIONS MANAGEMENT AND CRITICAL CONTROL, ANALYSIS OF SAFETY AND CONTROL PRESIDES
SUPPORT PROCESSES, SAFETY MANAGEMENT, SYSTEM OPERATIONS AND CRITICAL CONTROL, CONTINUOUS IMPROVEMENT
SUPPORT PROCESSES, SAFETY MANAGEMENT, MANAGEMENT OF IT SECURITY ACCIDENTS, SURVEY
SUPPORT PROCESSES, SAFETY MANAGEMENT, MANAGEMENT OF IT SECURITY ACCIDENTS, CLASSIFICATION
SUPPORT PROCESSES, SAFETY MANAGEMENT, MANAGEMENT OF IT SECURITY ACCIDENTS, ESCALATION PROCEDURE AND SPECIALIST INVOLVEMENT
SUPPORT PROCESSES, SAFETY MANAGEMENT, MANAGEMENT OF IT SECURITY ACCIDENTS, RESOLUTION
