PROCESSI DI SUPPORTO,RISORSE UMANE,FORMAZIONE E SVILUPPO PROFESSIONALE,DEFINIZIONE DEL PIANO DI FORMAZIONE ANNUALE
PROCESSI DI SUPPORTO,RISORSE UMANE,FORMAZIONE E SVILUPPO PROFESSIONALE,ASSESSMENT DEL PROGRAMMA DIDATTICO DI OGNI CORSO
PROCESSI DI SUPPORTO,RISORSE UMANE,FORMAZIONE E SVILUPPO PROFESSIONALE,APPROVAZIONE CORSI E SEMINARI ESTERNI
PROCESSI DI SUPPORTO,RISORSE UMANE,POLITICHE RETRIBUTIVE,
PROCESSI DI SUPPORTO,RISORSE UMANE,CESSAZIONE DEL RAPPORTO,
PROCESSI DI SUPPORTO,RISORSE UMANE,AMMINISTRAZIONE DEL PERSONALE,
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,COMPRENSIONE OBIETTIVI DI BUSINESS
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,ANALISI ATTUALE PORTAFOGLIO PROGETTI ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,VALUTAZIONE DEGLI SVILUPPI SULL'ARCHITETTURA APPLICATIVA AS IDI , DEFINIZIONE DEL DISEGNO ARCHITETTUARALE TO BE ED EVIDENZA DEI RELATIVI GAP
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,ANALISI DEL MODELLO ORGANIZZATIVO AS IS DELLA FUNZIONE ICT, DEFINIZIONE DEL DISEGNO ORGANIZZATIVO TO - BE ED EVIDENZA DEI RELATIVI GAP
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,VALUTAZIONE DEL MODELLO DI SOURCING
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,ANALISI DEI RISULTATI DELLA VALUTAZIONE DEL RISCHIO INFORMATICO ATTESO (RISK APPETITE)
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,STESURA DELLA PRIMA BOZZA DI PIANO STRATEGICO ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,IDENTIFICAZIONE E PIANIFICAZIONE DELLE SPECIFICHE PROGETTUALITA FINALIZZATE ALLA REALIZZAZIONE DEGLI OBIETTIVI STRATEGICI ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,IDENTIFICAZIONE DEI POSSIBILI FORNITORI DI SERVIZI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,DEFINIZIONE PIANO STRATEGICO ICT ED INDIRIZZI TECNOLOGICI,MONITORAGGIO DEI PROGETTI ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ANALISI DEI RISCHI INFORMATICI,DEFINIZIONE DEL CONTESTO
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ANALISI DEI RISCHI INFORMATICI,IDENTIFICAZIONE DEI RISCHI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ANALISI DEI RISCHI INFORMATICI,ANALISI DEI RISCHI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ANALISI DEI RISCHI INFORMATICI,VALUTAZIONE DEI RISCHI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ANALISI DEI RISCHI INFORMATICI,TRATTAMENTO DEL RISCHIO
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,MONITORAGGIO E MISURAZIONE DELLE PERFORMANCE DELL'ICT E DEI RELATIVI KPI,IDENTIFICAZIONE DEGLI AMBITI DA MONITORARE
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,MONITORAGGIO E MISURAZIONE DELLE PERFORMANCE DELL'ICT E DEI RELATIVI KPI,DEFINIZIONE DEI KPI RELATIVI AGLI AMBITI INDIVIDUATI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,MONITORAGGIO E MISURAZIONE DELLE PERFORMANCE DELL'ICT E DEI RELATIVI KPI,PREDISPOSIZIONE DELLE RISORSE NECESSARIE ALL'ELABORAZIONE DEI KPI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,MONITORAGGIO E MISURAZIONE DELLE PERFORMANCE DELL'ICT E DEI RELATIVI KPI,MISURAZIONE DEI COSTI ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,MONITORAGGIO E MISURAZIONE DELLE PERFORMANCE DELL'ICT E DEI RELATIVI KPI,MISURAZIONE DELLE PRESTAZIONI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,MONITORAGGIO E MISURAZIONE DELLE PERFORMANCE DELL'ICT E DEI RELATIVI KPI,REDAZIONE DEL RAPPORTO SINTETICO SU ADEGUATEZZA E COSTI DELL'ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,MONITORAGGIO E MISURAZIONE DELLE PERFORMANCE DELL'ICT E DEI RELATIVI KPI,DEFINIZIONE E MONITORAGGIO DELLE AZIONI DI MIGLIORAMENTO DELLE PRESTAZIONI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DEI PROCGETTI ICT,RECEPIMENTO NUOVE PROGETTUALITA' ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DEI PROCGETTI ICT,RECEPIMENTO DI PROGETTI ICT URGENTI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DEI PROCGETTI ICT,COMUNICAZIONE DEI PROGETTI AD AMPIO IMPATTO
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DEI PROCGETTI ICT,MONITORAGGIO DELLE PROGETTUALITA' ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DEI PROCGETTI ICT,VERIFICA DELL'AVANZAMENTO DEI PROGETTI ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DEI PROCGETTI ICT,VALUTAZIONE DELLA RILEVANZA DEI PROGETTI ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DEI PROCGETTI ICT,GESTIONE DELLE CRITICITA'
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DEI PROCGETTI ICT,CHIUSURA DEI PROGETTI ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DEI PROCGETTI ICT,AGGIORNAMENTO DEL PIANO OPERATIVO ANNUALE
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT DELLE APPLICAZIONI,GESTIONE DELLE ESIGENZE DI MODIFICA DEL SOFTWARE APPLICATIVO
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT DELLE APPLICAZIONI,GESTIONE DEI NUOVI SVILUPPI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT DELLE APPLICAZIONI,GESTIONE ANOMALIE
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT DELLE APPLICAZIONI,SVILUPPO E COLLAUDO DELL'INTERVENTO DI MODIFICA
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT DELLE APPLICAZIONI,APPROVAZIONE E PIANIFICAZIONE DEL PASSAGGIO IN PRODUZIONE
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT DELLE APPLICAZIONI,PASSAGGIO IN AMBIENTE DI PRODUZIONE
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT DELLE APPLICAZIONI,MODIFICHE IN EMERGENZA
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT INFRASTRUTTURALE,RACCOLTA DELLE ESIGENZE DI MODIFICA DELL'INFRASTRUTTURA
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT INFRASTRUTTURALE,GESTIONE DELLE ESIGENZE DI MODIFICA
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT INFRASTRUTTURALE,INTERVENTI NEGLI AMBIENTI INFERIORI ALLA PRODUZIONE
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT INFRASTRUTTURALE,PIANIFICAZIONE ED APPROVAZIONE DEL PASSAGGIO IN PRODUZIONE
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT INFRASTRUTTURALE,PASSAGGIO IN PRODUZIONE
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CHANGE MANAGEMENT INFRASTRUTTURALE,MODIFICHE IN EMERGENZA
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CAPACITY PLANNING,DEFINIZIONE DEGLI OBIETTIVI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CAPACITY PLANNING,PIANIFICAZIONE E MONITORAGGIO 
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CAPACITY PLANNING,ANALISI PERIODICA
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,CAPACITY PLANNING,REVISIONE E ADEGUAMENTI DELLA CAPACITA'
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLO SVILUPPO, DELL'ACQUISIZIONE E DELLA MANUTENZIONE DEL SOFTWARE APPLICATIVO E DELL'INFRASTRUTTURA TECNOLOGICA,DEFINIZIONE DEI REQUISITI DI SICUREZZA
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLO SVILUPPO, DELL'ACQUISIZIONE E DELLA MANUTENZIONE DEL SOFTWARE APPLICATIVO E DELL'INFRASTRUTTURA TECNOLOGICA,IMPLEMENTAZIONE DEI SISTEMI INFORMATICI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLO SVILUPPO, DELL'ACQUISIZIONE E DELLA MANUTENZIONE DEL SOFTWARE APPLICATIVO E DELL'INFRASTRUTTURA TECNOLOGICA,ACQUISIZIONE DEI SISTEMI INFORMATICI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLO SVILUPPO, DELL'ACQUISIZIONE E DELLA MANUTENZIONE DEL SOFTWARE APPLICATIVO E DELL'INFRASTRUTTURA TECNOLOGICA,VERIFICA DEI SISTEMI INFORMATICI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ASSICURAZIONE DELLA CONFORMITA' A LEGGI E NORMATIVE ESTERNE ED INTERNE RELATIVE AL SISTEMA INFORMATIVO,IDENTIFICAZIONE
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ASSICURAZIONE DELLA CONFORMITA' A LEGGI E NORMATIVE ESTERNE ED INTERNE RELATIVE AL SISTEMA INFORMATIVO,ASSESSMENT 
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ASSICURAZIONE DELLA CONFORMITA' A LEGGI E NORMATIVE ESTERNE ED INTERNE RELATIVE AL SISTEMA INFORMATIVO,REMEDIATION PLAN
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ASSICURAZIONE DELLA CONFORMITA' A LEGGI E NORMATIVE ESTERNE ED INTERNE RELATIVE AL SISTEMA INFORMATIVO,MONITORAGGIO
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,ASSICURAZIONE DELLA CONFORMITA' A LEGGI E NORMATIVE ESTERNE ED INTERNE RELATIVE AL SISTEMA INFORMATIVO,REPORTING
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLE ACQUISIZIONI DI SISTEMI, SOFTWARE E SERVIZI IT (INCLUSO IL RICORSO A FORNITORI ESTERNI),IDENTIFICAZIONE E CENSIMENTO DI NUOVE ESIGENZE IN AMBITO ICT
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLE ACQUISIZIONI DI SISTEMI, SOFTWARE E SERVIZI IT (INCLUSO IL RICORSO A FORNITORI ESTERNI),ANALISI DEGLI IMPATTI DERIVANTI DAL RICORSO A FORNITORI ESTERNI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLE ACQUISIZIONI DI SISTEMI, SOFTWARE E SERVIZI IT (INCLUSO IL RICORSO A FORNITORI ESTERNI),VALUTAZIONE DELLA CONVENIENZA A RICORRERE A FORNITORI ESTERNI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLE ACQUISIZIONI DI SISTEMI, SOFTWARE E SERVIZI IT (INCLUSO IL RICORSO A FORNITORI ESTERNI),SELEZIONE DEL FORNITORE DI SISTEMI, SOFTWARE O SERVIZI
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLE ACQUISIZIONI DI SISTEMI, SOFTWARE E SERVIZI IT (INCLUSO IL RICORSO A FORNITORI ESTERNI),FORMALIZZAZIONE ACCORDO DI FORNITURA
PROCESSI DI SUPPORTO,GESTIONE SISTEMI INFORMATIVI E TELECOMUNICAZIONI,GESTIONE DELLE ACQUISIZIONI DI SISTEMI, SOFTWARE E SERVIZI IT (INCLUSO IL RICORSO A FORNITORI ESTERNI),MONITORAGGIO SLA E CLAUSOLE CONTRATTUALI
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,DEFINIZIONE E REVISIONE DELL'ASSETTO ORGANIZZATIVO AZIENDALE,DEFINIZIONE E REVISIONE DEL MODELLO ORGANIZZATIVO 
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,DEFINIZIONE E REVISIONE DELL'ASSETTO ORGANIZZATIVO AZIENDALE,IDENTIFICAZIONE DELLE FUNZIONI OPERATIVE IMPORTANTI
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,DEFINIZIONE E REVISIONE DELL'ASSETTO ORGANIZZATIVO AZIENDALE,DEFINIZIONE E REVISIONE DELL'ORGANIGRAMMA E FUNZIONIGRAMMA
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,DEFINIZIONE E REVISIONE DELL'ASSETTO ORGANIZZATIVO AZIENDALE,DEFINIZIONE E REVISIONE DIMENSIONAMENTO DEGLI ORGANICI
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,DEFINIZIONE E REVISIONE DELL'ASSETTO ORGANIZZATIVO AZIENDALE,DEFINIZIONE DELLA TASSONOMIA DEI PROCESSI
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DEI PROCESSI AZIENDALI,DEFINIZIONE E REVISIONE DEI PROCESSI AZIENDALI
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DEI PROCESSI AZIENDALI,MAPPATURA DEI PROCESSI AZIENDALI
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DEI PROCESSI AZIENDALI,DEFINIZIONE DELLA TASSONOMIA DELLE FONTI REGOLAMENTARI
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA NORMATIVA INTERNA,REDAZIONE NORMATIVA INTERNA
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA NORMATIVA INTERNA,APPROVAZIONE DELLA NORMATIVA INTERNA
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA NORMATIVA INTERNA,DIVULGAZIONE DELLA NORMATIVA INTERNA
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA NORMATIVA INTERNA,INTEGRAZIONE E AGGIORNAMENTO DELLA NORMATIVA INTERNA
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,ESTERNALIZZAZIONE DI FUNZIONI AZIENDALI,IDENTIFICAZIONE DEI LIVELLI DECISIONALI E DELLE UNITA ORGANIZZATIVE COINVOLTE
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,ESTERNALIZZAZIONE DI FUNZIONI AZIENDALI,VALUTAZIONE DELLA CONVENIENZA AD ESTERNALIZZARE
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,ESTERNALIZZAZIONE DI FUNZIONI AZIENDALI,DEFINIZIONE DELLE CONDIZIONI DI ESECUZIONE DEL SERVIZIO E DEFINIZIONE SLA
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,ESTERNALIZZAZIONE DI FUNZIONI AZIENDALI,GESTIONE DEI RAPPORTI CON OUTSOURCER
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELL'INNOVAZIONE E DEL CAMBIAMENTO,ANALISI ESIGENZE DI CAMBIAMENTO E RACCOLTA REQUISITI UTENTE
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELL'INNOVAZIONE E DEL CAMBIAMENTO,VALUTAZIONE DEGLI IMPATTI DEL CAMBIAMENTO
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELL'INNOVAZIONE E DEL CAMBIAMENTO,DISEGNO DELLE SOLUZIONI DI CAMBIAMENTO
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELL'INNOVAZIONE E DEL CAMBIAMENTO,IMPLEMENTAZIONE DEL PIANO DI CAMBIAMENTO
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,PROJECT MANAGEMENT,IDENTIFICAZIONE DEGLI OBIETTIVI DI PROGETTO
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,PROJECT MANAGEMENT,GESTIONE DEL KICK OFF DI PROGETTO
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,PROJECT MANAGEMENT,DEFINIZIONE DELL'ORGANIGRAMMA DI PROGETTO
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,PROJECT MANAGEMENT,PREDISPOSIZIONE DEL PIANO DI PROGETTO
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,PROJECT MANAGEMENT,DEFINIZIONE DEL MODELLO OPERATIVO
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,PROJECT MANAGEMENT,GESTIONE DEI SAL E COORDINAMENTO DELLA DOCUMENTAZIONE DI PROGETTO
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,PROJECT MANAGEMENT,GESTIONE DELLA CHIUSURA DI PROGETTO E PREDISPOSIZIONE/DIVULGAZIONE DELLE RELATIVE COMUNICAZIONI 
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA REPORTISTICA DIREZIONALE ED OPERATIVA,RACCOLTA DELLA RICHIESTA DI PREDISPOSIZIONE DI REPORTISTICA
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA REPORTISTICA DIREZIONALE ED OPERATIVA,DEFINIZIONE DELLE CARATTERISTICHE DEL REPORT
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA REPORTISTICA DIREZIONALE ED OPERATIVA,ANALISI CIRCA LA DISPONIBILITA DELLE INFORMAZIONI RICHIESTE
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA REPORTISTICA DIREZIONALE ED OPERATIVA,DEFINIZIONE DEL LAYOUT REPORTISTICA
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA REPORTISTICA DIREZIONALE ED OPERATIVA,PREDISPOSIZIONE BOZZA REPORTISTICA 
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA REPORTISTICA DIREZIONALE ED OPERATIVA,CONDIVISIONE E FINE TUNING  
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DELLA REPORTISTICA DIREZIONALE ED OPERATIVA,DIVULGAZIONE REPORT
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DEI TEST FUNZIONALI SIA PER GLI APPLICATIVI DI NUOVA INTRODUZIONE SIA PER LE MODIFICHE DEGLI APPLICATIVI IN ESSERE,DEFINIZIONE DELLE FINALITA DEL TEST
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DEI TEST FUNZIONALI SIA PER GLI APPLICATIVI DI NUOVA INTRODUZIONE SIA PER LE MODIFICHE DEGLI APPLICATIVI IN ESSERE,ELABORAZIONE DEL FRAMEWORK METODOLOGICO DI TEST ED IDENTIFICAZIONE DELL'ARCHITETTURA APPLICATIVA INTERESSATA DALLE ATTIVITA DI TEST
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DEI TEST FUNZIONALI SIA PER GLI APPLICATIVI DI NUOVA INTRODUZIONE SIA PER LE MODIFICHE DEGLI APPLICATIVI IN ESSERE,PIANIFICAZIONE DELLE ATTIVITA DI TEST
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DEI TEST FUNZIONALI SIA PER GLI APPLICATIVI DI NUOVA INTRODUZIONE SIA PER LE MODIFICHE DEGLI APPLICATIVI IN ESSERE,ESECUZIONE DELLE ATTIVITA DI TEST, IDENTIFICAZIONE DEI GAP, CONDIVISIONE DEI RELATIVI RISULTATI
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DEI TEST FUNZIONALI SIA PER GLI APPLICATIVI DI NUOVA INTRODUZIONE SIA PER LE MODIFICHE DEGLI APPLICATIVI IN ESSERE,FORMALIZZAZIONE DEGLI ESITI DELLE ATTIVITA DI TEST ED INDIRIZZAMENTO DELLE ATTIVITA DI SISTEMAZIONE DELLE ANOMALIE RILEVATE
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,GESTIONE DEI TEST FUNZIONALI SIA PER GLI APPLICATIVI DI NUOVA INTRODUZIONE SIA PER LE MODIFICHE DEGLI APPLICATIVI IN ESSERE,IDENTIFICAZIONE DEI TEST DA SCHEDULARE IN MODO SISTEMATICO E DETERMINAZIONE DELLA RELATIVA FREQUENZA DI ESECUZIONE
PROCESSI DI SUPPORTO,ORGANIZZAZIONE,HELP DESK INTERNO,
PROCESSI DI SUPPORTO,SUPPORTO LOGISTICO E TECNICO,GESTIONE RISORSE INFRASTRUTTURALI E SERVIZI GENERALI,GESTIONE E MANUTENZIONE BENI IMMOBILI
PROCESSI DI SUPPORTO,SUPPORTO LOGISTICO E TECNICO,GESTIONE RISORSE INFRASTRUTTURALI E SERVIZI GENERALI,GESTIONE LAYOUT FILIALI E UFFICI
PROCESSI DI SUPPORTO,SUPPORTO LOGISTICO E TECNICO,GESTIONE RISORSE INFRASTRUTTURALI E SERVIZI GENERALI,GESTIONE E MANUTENZIONE BENI MOBILI
PROCESSI DI SUPPORTO,SUPPORTO LOGISTICO E TECNICO,GESTIONE RISORSE INFRASTRUTTURALI E SERVIZI GENERALI,GESTIONE CORRISPONDENZA E POSTA INTERNA
PROCESSI DI SUPPORTO,SUPPORTO LOGISTICO E TECNICO,GESTIONE RISORSE INFRASTRUTTURALI E SERVIZI GENERALI,GESTIONE SCORTE E MAGAZZINO
PROCESSI DI SUPPORTO,SUPPORTO LOGISTICO E TECNICO,GESTIONE RISORSE INFRASTRUTTURALI E SERVIZI GENERALI,GESTIONE ENERGIA E IMPIANTI
PROCESSI DI SUPPORTO,SUPPORTO LOGISTICO E TECNICO,GESTIONE CONSERVAZIONE DOCUMENTI CARTACEI E INFORMATICI,
PROCESSI DI SUPPORTO,GESTIONE ORGANI SOCIALI E PARTECIPAZIONI,ADEMPIMENTI E COMPENSI ORGANI SOCIALI,
PROCESSI DI SUPPORTO,GESTIONE ORGANI SOCIALI E PARTECIPAZIONI,FORMALIZZAZIONE E REGISTRAZIONE ATTIVITA' ORGANI SOCIALI,
PROCESSI DI SUPPORTO,GESTIONE ORGANI SOCIALI E PARTECIPAZIONI,ADEMPIMENTI AMMINISTRATIVI PARTECIPAZIONI,
PROCESSI DI SUPPORTO,SUPPORTO E CONSULENZA LEGALE,SUPPORTO LEGALE OPERATIVO,ATTESTAZIONI E SUCCESSIONI
PROCESSI DI SUPPORTO,SUPPORTO E CONSULENZA LEGALE,SUPPORTO LEGALE OPERATIVO,AMMORTAMENTO / SOSTITUZIONE TITOLI DI CREDITO
PROCESSI DI SUPPORTO,SUPPORTO E CONSULENZA LEGALE,SUPPORTO LEGALE OPERATIVO,REVISIONE E INTEGRAZIONE SCHEMI CONTRATTUALI E MODULISTICA
PROCESSI DI SUPPORTO,SUPPORTO E CONSULENZA LEGALE,CONSULENZA LEGALE,
PROCESSI DI SUPPORTO,SEGNALAZIONE E RAPPORTI CON LE AUTORITA' DI VIGILANZA,SEGNALAZIONE A BANCA D'ITALIA E CR,CLASSIFICAZIONE DELLE ESPOSIZIONI NPL E SEGNALAZIONI IN CR
PROCESSI DI SUPPORTO,SEGNALAZIONE E RAPPORTI CON LE AUTORITA' DI VIGILANZA,SEGNALAZIONE A BANCA D'ITALIA E CR,MONITORAGGIO E CLASSIFICAZIONE DELLE ESPOSIZIONI NEL CONTINUO
